,Datetime,density_label,relation_label,Text,Username,UserLocation,ReplyCount,LikeCount,RetweetCount
0,2022-03-29 17:16:08+00:00,,0,"@persiantittys @BadRobotBass This is near my apartment. Saw it yesterday. Worst part is that its under the highway. Barely any foot traffic, no one getting bothered, no buildings close enough for it even be an eye sore. Its just Eric Adams doing performative shit to make it look like hes cleaning up the city",Rasp_5,NYC,1,0,0
1,2022-03-29 17:14:19+00:00,0,1,"#MTA #NYCSubways Downtown A, B, C, and D trains are experiencing delays as crews repair a damaged rail at 96th Street. @1010WINS @MTA https://t.co/8N3r0Cw0QY",WINSTRAFFICNYC,New York,0,0,0
2,2022-03-29 17:12:13+00:00,0,1,"CLEARED BUFFALO: DELAY Delays: WB on I-90 exit 48A-exit 49: Delays Slow traffic stopped traffic: Incident clear, traffic normal.",ThruwayTraffic,New York,0,0,0
3,2022-03-29 17:12:02+00:00,,0,"After a car accident, many people wonder what to do, especially if insurance companies are involved. 

Check out our blog where we share tips for speaking with an adjuster after an accident: https://t.co/JfvCrbJpHO https://t.co/zUsUzkOkDw",FinzFirm,New York,0,0,0
4,2022-03-29 17:12:00+00:00,,0,The activity of Turkish construction companies in Russia is also significant. The total volume of construction projects by Turkish companies in Russia will soon reach the $100 billion mark.,OnlineMagazin,"New York, USA",1,1,0
5,2022-03-29 17:10:00+00:00,,0,"🚧💻 SIGCIS 2022 CFP DROP 💻🚧

THEME: ""UNDER CONSTRUCTION"" // NOV 13 2022, NEW ORLEANS // ft keynote @gleemie // abstracts due June 1 // cfp here: https://t.co/iPodFCMVrR // share share everywhere https://t.co/m8HKo9MX7V",Sierra_OffLine,New York City,0,3,1
6,2022-03-29 17:09:50+00:00,,0,Tab Accelerator – Powerful Traffic Exchange Software https://t.co/thCwuPZa0B,RabbitShopping,New York,0,0,0
7,2022-03-29 17:08:35+00:00,,0,@JefePil I remember when we 1st beat the pats in the SB and we was in the street outside the bar on 43st 10th Ave and we was shutting down traffic.Good memories,Teamholston,"Manhattan, NY",0,1,0
8,2022-03-29 17:06:00+00:00,,0,"The Scaffold Law requires that construction workers wear lifesaving harnesses if they're hanging from a building. 

The real estate industry wants to do away with that basic requirement.

https://t.co/HhRC5U5hKc",Documentedny,"New York, NY",0,0,1
9,2022-03-29 17:05:15+00:00,,0,My 98-pound tumor life: Man bedridden for 10 years after car crash walks again https://t.co/Nr2JfEXPrB,CAdabag,New York,0,0,0
10,2022-03-29 17:05:06+00:00,,0,My 98-pound tumor life: Man bedridden for 10 years after car crash walks again https://t.co/s8VofN2xKp https://t.co/Fp1ykaErSZ,nypost,"New York, NY",6,15,2
11,2022-03-29 17:02:20+00:00,,0,Legislators in the @NYSenate are backing a proposal to ban #fossilfuels in new building construction by 2024 for buildings under seven stories. @GovKathyHochul's proposed ban would begin in 2027. Read more on the green benefits of the dueling plans here: https://t.co/Sk2pJ9H968. https://t.co/HK4OWnKZUm,ArchStreetPR,"New York, USA",0,1,1
12,2022-03-29 17:02:00+00:00,1,1,"In #NassauCounty, westbound #SouthernStateParkway has delays approaching Exit 29N for Route 107 with construction leaving only the left lane open. @1010WINS @511nyLongIsland https://t.co/K1LqPboCX7",WINSTRAFFICNYC,New York,0,0,0
13,2022-03-29 17:00:19+00:00,,0,Driving traffic to your video with an email campaign is as easy as copy and paste! Here's how to embed a video in an email using a basic embed on the SproutVideo platform: https://t.co/To2bGzCMi9 https://t.co/vMQ1xcyyxS,sproutvideo,"New York, NY",0,0,0
14,2022-03-29 17:00:01+00:00,,0,"Want to learn more about DOB’s second annual New York City Construction Safety Report 🦺 and see what local leaders have to say about it?

Check out our Press Release exploring the recent safety trends in NYC’s construction industry here: https://t.co/P7q3KSNALg https://t.co/9PBMDap2YQ",NYC_Buildings,"New York, NY",0,0,0
15,2022-03-29 16:57:37+00:00,,0,When cops stand in the street while you’re sitting in traffic and give you a seatbelt ticket…come on that’s cheating.,mikerecine,"New York, NY",0,14,0
16,2022-03-29 16:56:29+00:00,,0,@JCParking is street sweeping cancelled this week in Paulus Hook? No parking available otherwise due to Van Voorst construction,sammlzv,"New York, NY",0,0,0
17,2022-03-29 16:55:54+00:00,2,1,UPDATE BUFFALO: DELAY Delays: WB on I-90 exit 48A-exit 49: Delays Slow traffic stopped traffic,ThruwayTraffic,New York,0,0,0
18,2022-03-29 16:54:18+00:00,0,1,It will be an easy trip leaving or entering the city at the #HollandTunnel and #LincolnTunnel with travel times for both under ten minutes inbound and outbound. @1010WINS @PANYNJ_HT https://t.co/jCyATQD2T0,WINSTRAFFICNYC,New York,0,0,0
19,2022-03-29 16:54:10+00:00,,0,"@Revv_art From experience, you'll eventually won't need construction lines when you practice alot",atrain_830,"New York, USA",0,0,0
20,2022-03-29 16:52:31+00:00,,0,"RT NYC_DOT ""Have you visited the Willoughby Open Street in Fort Greene, #Brooklyn since the implementation of traffic calming treatments in December 2021? We want your feedback! Complete the survey by Friday, April 15th, 2022: https://t.co/mzh0vuIhOP. https://t.co/XaF2xplEUD""",freeparknyc,"New York, NY",0,0,0
21,2022-03-29 16:52:13+00:00,,0,"@Harpua71 @FedRCivP11 @ScottHech NYPD choosing to ignore traffic enforcement has certainly increased the number of pedestrian and cyclist fatalities, yet we’re still paying them to do the enforcement they ignore.",jmp_nyc,"New York, NY",2,0,0
22,2022-03-29 16:52:03+00:00,,0,Spanish-led team picked for Femernbelt tech https://t.co/BEKFJuNpMF #contract #Denmark https://t.co/g1CyYmFPR1,TCindexUSA,"New York, USA",0,0,1
23,2022-03-29 16:50:36+00:00,,0,Under Construction https://t.co/yZSXq3FAmU,parmaenzo01,"New York, USA",0,0,0
24,2022-03-29 16:50:13+00:00,,0,Just ‘Beep’ It: Traffic cop dances like Michael Jackson https://t.co/bv5IbxMCp8,CAdabag,New York,0,0,0
25,2022-03-29 16:50:02+00:00,2,1,"In #EssexCounty, eastbound Route 280 has three lanes blocked near Exit 9 in #WestOrange for emergency roadwork. @1010WINS @waze https://t.co/YaNBdzMP4w",WINSTRAFFICNYC,New York,0,1,0
26,2022-03-29 16:48:54+00:00,,0,"@UrbanJerseyGuy @SafeStreetsJC Terrible. Bus cutouts are a tradeoff going the wrong way. They're for traffic flow, certainly not for the bus or its riders. The opposite, curb extensions out to the bus would actually be beneficial to bus riders.",jimmybot,"Jersey City, NJ",1,1,0
27,2022-03-29 16:48:38+00:00,,0,@davidjoemax @DannyHarris_TA At some intersections you're lucky if there's not a truck blocking your view of oncoming traffic AND a truck blocking the crosswalk and the pedestrian signal. Is it my time to cross? Is it safe to cross? Who knows?,mattmillr,"New York, NY",0,0,0
28,2022-03-29 16:47:06+00:00,,0,"5. Honestly and embarrassingly, this is something I dream of happening to me. I was at a traffic light and looked up into my mirror and thought ""hm. maybe one day I'll fall in love this way"" and then the WIP emerged",SylvainShake,New York,0,4,0
29,2022-03-29 16:44:23+00:00,,0,"We want to thank you @CherylMckissack for all that you have done for construction businesses and their leaders in NYC. @BLCDNYC is especially thankful for all the encouragement and opportunities you have afforded us.
#WomensHistoryMonth #wmbe #mwbe #accesstocapital #opportunities https://t.co/UFPxN85rjP",BLCDNYC,"New York City, NY",0,0,0
