,Coords,City,Tweet,Timestamp,Density
0,"[-74.00713999999994, 40.71455000000003]",New York City Metro,"CLEARED BUFFALO: DELAY Delays: WB on I-90 exit 48A-exit 49: Delays Slow traffic stopped traffic: Incident clear, traffic normal.",2022-03-29 17:12:13+00:00,0
1,"[-73.88927432395744, 40.82075459501255]",New York City Metro,"CLEARED BUFFALO: DELAY Delays: WB on I-90 exit 48A-exit 49: Delays Slow traffic stopped traffic: Incident clear, traffic normal.",2022-03-29 17:12:13+00:00,0
0,"[-74.00713999999994, 40.71455000000003]",New York City Metro,"In #NassauCounty, westbound #SouthernStateParkway has delays approaching Exit 29N for Route 107 with construction leaving only the left lane open. @1010WINS @511nyLongIsland https://t.co/K1LqPboCX7",2022-03-29 17:02:00+00:00,1
0,"[-74.00713999999994, 40.71455000000003]",New York City Metro,UPDATE BUFFALO: DELAY Delays: WB on I-90 exit 48A-exit 49: Delays Slow traffic stopped traffic,2022-03-29 16:55:54+00:00,2
1,"[-73.88927432395744, 40.82075459501255]",New York City Metro,UPDATE BUFFALO: DELAY Delays: WB on I-90 exit 48A-exit 49: Delays Slow traffic stopped traffic,2022-03-29 16:55:54+00:00,2
0,"[-74.00713999999994, 40.71455000000003]",New York City Metro,It will be an easy trip leaving or entering the city at the #HollandTunnel and #LincolnTunnel with travel times for both under ten minutes inbound and outbound. @1010WINS @PANYNJ_HT https://t.co/jCyATQD2T0,2022-03-29 16:54:18+00:00,0
1,"[-74.00503416841346, 40.76045204496255]",New York City Metro,It will be an easy trip leaving or entering the city at the #HollandTunnel and #LincolnTunnel with travel times for both under ten minutes inbound and outbound. @1010WINS @PANYNJ_HT https://t.co/jCyATQD2T0,2022-03-29 16:54:18+00:00,0
2,"[-74.02057337459621, 40.72730833838049]",New York City Metro,It will be an easy trip leaving or entering the city at the #HollandTunnel and #LincolnTunnel with travel times for both under ten minutes inbound and outbound. @1010WINS @PANYNJ_HT https://t.co/jCyATQD2T0,2022-03-29 16:54:18+00:00,0
3,"[-73.99672976068851, 40.757037110103134]",New York City Metro,It will be an easy trip leaving or entering the city at the #HollandTunnel and #LincolnTunnel with travel times for both under ten minutes inbound and outbound. @1010WINS @PANYNJ_HT https://t.co/jCyATQD2T0,2022-03-29 16:54:18+00:00,0
0,"[-74.00713999999994, 40.71455000000003]",New York City Metro,"In #EssexCounty, eastbound Route 280 has three lanes blocked near Exit 9 in #WestOrange for emergency roadwork. @1010WINS @waze https://t.co/YaNBdzMP4w",2022-03-29 16:50:02+00:00,2
0,"[-73.9984222282544, 40.66542619311658]",New York City Metro,Cleared: Construction on #3RDAVE NB from 23RD ST to 20TH ST,2022-03-29 16:39:16+00:00,0
1,"[-73.99922115832749, 40.66298260400407]",New York City Metro,Cleared: Construction on #3RDAVE NB from 23RD ST to 20TH ST,2022-03-29 16:39:16+00:00,0
4,"[-73.95576355971683, 40.64461893828187]",New York City Metro,Cleared: Construction on #3RDAVE NB from 23RD ST to 20TH ST,2022-03-29 16:39:16+00:00,0
6,"[-73.91405464580829, 40.78381485071877]",New York City Metro,Cleared: Construction on #3RDAVE NB from 23RD ST to 20TH ST,2022-03-29 16:39:16+00:00,0
7,"[-73.98642100463142, 40.65801953932415]",New York City Metro,Cleared: Construction on #3RDAVE NB from 23RD ST to 20TH ST,2022-03-29 16:39:16+00:00,0
8,"[-73.98071262483401, 40.65458468132523]",New York City Metro,Cleared: Construction on #3RDAVE NB from 23RD ST to 20TH ST,2022-03-29 16:39:16+00:00,0
