,Coords,City,Tweet,Timestamp
1,"[-74.00713999999994, 40.71455000000003]",New York City Metro,Construction on #AllTrains at New York Penn Station https://t.co/M8ydhUNfLi,2022-02-24 18:20:02+00:00
5,"[-73.95923197782602, 40.70161609381361]",New York City Metro,Construction on #AllTrains at New York Penn Station https://t.co/M8ydhUNfLi,2022-02-24 18:20:02+00:00
6,"[-73.95530100235588, 40.70416001212688]",New York City Metro,Construction on #AllTrains at New York Penn Station https://t.co/M8ydhUNfLi,2022-02-24 18:20:02+00:00
7,"[-74.12338490789914, 40.610465032798444]",New York City Metro,Construction on #AllTrains at New York Penn Station https://t.co/M8ydhUNfLi,2022-02-24 18:20:02+00:00
2,"[-73.99518099424334, 40.721569999961154]",New York City Metro,Cleared: Construction on #ELine SB from 23 St to Spring St,2022-02-24 10:04:16+00:00
3,"[-74.00681823560352, 40.725774412495774]",New York City Metro,Cleared: Construction on #ELine SB from 23 St to Spring St,2022-02-24 10:04:16+00:00
2,"[-73.99518099424334, 40.721569999961154]",New York City Metro,Cleared: Construction on #ELine SB from 23 St to Spring St,2022-02-24 10:04:16+00:00
3,"[-74.00681823560352, 40.725774412495774]",New York City Metro,Cleared: Construction on #ELine SB from 23 St to Spring St,2022-02-24 10:04:16+00:00
1,"[-73.99518099424334, 40.721569999961154]",New York City Metro,Construction on #ELine SB from 23 St to Spring St https://t.co/2Esf8cXiv2,2022-02-24 02:43:12+00:00
2,"[-74.00681823560352, 40.725774412495774]",New York City Metro,Construction on #ELine SB from 23 St to Spring St https://t.co/2Esf8cXiv2,2022-02-24 02:43:12+00:00
3,"[-74.00713999999994, 40.71455000000003]",New York City Metro,Construction on #ELine SB from 23 St to Spring St https://t.co/2Esf8cXiv2,2022-02-24 02:43:12+00:00
1,"[-73.99518099424334, 40.721569999961154]",New York City Metro,Construction on #ELine SB from 23 St to Spring St https://t.co/i9pBWI6ScD,2022-02-24 02:43:11+00:00
2,"[-74.00681823560352, 40.725774412495774]",New York City Metro,Construction on #ELine SB from 23 St to Spring St https://t.co/i9pBWI6ScD,2022-02-24 02:43:11+00:00
3,"[-74.00713999999994, 40.71455000000003]",New York City Metro,Construction on #ELine SB from 23 St to Spring St https://t.co/i9pBWI6ScD,2022-02-24 02:43:11+00:00
0,"[-73.98641401804346, 40.75548347019645]",New York City Metro,Construction on #1Line NB from Times Sq - 42 St to 72 St https://t.co/QFpxBUMbL6,2022-02-23 21:34:00+00:00
1,"[-74.00713999999994, 40.71455000000003]",New York City Metro,Construction on #1Line NB from Times Sq - 42 St to 72 St https://t.co/QFpxBUMbL6,2022-02-23 21:34:00+00:00
0,"[-73.98641401804346, 40.75548347019645]",New York City Metro,Construction on #1Line NB from Times Sq - 42 St to 72 St https://t.co/xqPX6vVHxg,2022-02-23 21:34:00+00:00
1,"[-74.00713999999994, 40.71455000000003]",New York City Metro,Construction on #1Line NB from Times Sq - 42 St to 72 St https://t.co/xqPX6vVHxg,2022-02-23 21:34:00+00:00
0,"[-73.98641401804346, 40.75548347019645]",New York City Metro,Construction on #2Line NB from Times Sq - 42 St to 72 St https://t.co/PGUsgiTrr0,2022-02-23 21:33:03+00:00
1,"[-74.00713999999994, 40.71455000000003]",New York City Metro,Construction on #2Line NB from Times Sq - 42 St to 72 St https://t.co/PGUsgiTrr0,2022-02-23 21:33:03+00:00
0,"[-73.98641401804346, 40.75548347019645]",New York City Metro,Construction on #2Line NB from Times Sq - 42 St to 72 St https://t.co/D7fyOYSwon,2022-02-23 21:33:03+00:00
1,"[-74.00713999999994, 40.71455000000003]",New York City Metro,Construction on #2Line NB from Times Sq - 42 St to 72 St https://t.co/D7fyOYSwon,2022-02-23 21:33:03+00:00
0,"[-74.00713999999994, 40.71455000000003]",New York City Metro,@DinnerWed @EJKessler @JulieMenin @NYC_DOT @Ydanis2013 All the bicycle riders ? Some of the bicycle riders ? Do all of the drivers follow traffic rules ? Should we not have roads for cars if majority of car drivers not follow traffic rules ? What's the consequence of a driver vs. a biker not following traffic rules ?,2022-02-23 18:44:05+00:00
0,"[-74.00713999999994, 40.71455000000003]",New York City Metro,Hiring an SPM and APM for my NYC construction Corp. Dm me asap,2022-02-23 18:08:50+00:00
0,"[-73.98244761512373, 40.74546815576733]",New York City Metro,Construction on #E24THST EB from MADISON AVE to PARK AVE S https://t.co/2hUSg72pRw,2022-02-23 14:01:21+00:00
1,"[-73.9880643209342, 40.737745362286205]",New York City Metro,Construction on #E24THST EB from MADISON AVE to PARK AVE S https://t.co/2hUSg72pRw,2022-02-23 14:01:21+00:00
2,"[-73.99017906521442, 40.73211347023455]",New York City Metro,Construction on #E24THST EB from MADISON AVE to PARK AVE S https://t.co/2hUSg72pRw,2022-02-23 14:01:21+00:00
3,"[-73.98478952916172, 40.74241560279318]",New York City Metro,Construction on #E24THST EB from MADISON AVE to PARK AVE S https://t.co/2hUSg72pRw,2022-02-23 14:01:21+00:00
4,"[-74.00713999999994, 40.71455000000003]",New York City Metro,Construction on #E24THST EB from MADISON AVE to PARK AVE S https://t.co/2hUSg72pRw,2022-02-23 14:01:21+00:00
5,"[-73.93272973692467, 40.81416747323596]",New York City Metro,Construction on #E24THST EB from MADISON AVE to PARK AVE S https://t.co/2hUSg72pRw,2022-02-23 14:01:21+00:00
7,"[-73.9883027946293, 40.71277592148358]",New York City Metro,Construction on #E24THST EB from MADISON AVE to PARK AVE S https://t.co/2hUSg72pRw,2022-02-23 14:01:21+00:00
8,"[-73.99971221163501, 40.71178992527269]",New York City Metro,Construction on #E24THST EB from MADISON AVE to PARK AVE S https://t.co/2hUSg72pRw,2022-02-23 14:01:21+00:00
9,"[-73.98920691633367, 40.74281487808988]",New York City Metro,Construction on #E24THST EB from MADISON AVE to PARK AVE S https://t.co/2hUSg72pRw,2022-02-23 14:01:21+00:00
10,"[-73.9318160904889, 40.813998407640526]",New York City Metro,Construction on #E24THST EB from MADISON AVE to PARK AVE S https://t.co/2hUSg72pRw,2022-02-23 14:01:21+00:00
11,"[-73.94984477994653, 40.60428060196606]",New York City Metro,Construction on #E24THST EB from MADISON AVE to PARK AVE S https://t.co/2hUSg72pRw,2022-02-23 14:01:21+00:00
12,"[-73.92918620207656, 40.61115236305318]",New York City Metro,Construction on #E24THST EB from MADISON AVE to PARK AVE S https://t.co/2hUSg72pRw,2022-02-23 14:01:21+00:00
13,"[-73.93810165248375, 40.60537662161824]",New York City Metro,Construction on #E24THST EB from MADISON AVE to PARK AVE S https://t.co/2hUSg72pRw,2022-02-23 14:01:21+00:00
14,"[-73.97324306280082, 40.60169834511039]",New York City Metro,Construction on #E24THST EB from MADISON AVE to PARK AVE S https://t.co/2hUSg72pRw,2022-02-23 14:01:21+00:00
15,"[-73.90292861302999, 40.70514135379629]",New York City Metro,Construction on #E24THST EB from MADISON AVE to PARK AVE S https://t.co/2hUSg72pRw,2022-02-23 14:01:21+00:00
16,"[-73.88001323153019, 40.73124686585289]",New York City Metro,Construction on #E24THST EB from MADISON AVE to PARK AVE S https://t.co/2hUSg72pRw,2022-02-23 14:01:21+00:00
17,"[-73.94125784445146, 40.61069146411192]",New York City Metro,Construction on #E24THST EB from MADISON AVE to PARK AVE S https://t.co/2hUSg72pRw,2022-02-23 14:01:21+00:00
18,"[-73.957614919151, 40.68390003903019]",New York City Metro,Construction on #E24THST EB from MADISON AVE to PARK AVE S https://t.co/2hUSg72pRw,2022-02-23 14:01:21+00:00
19,"[-73.92547975864174, 40.687597844540655]",New York City Metro,Construction on #E24THST EB from MADISON AVE to PARK AVE S https://t.co/2hUSg72pRw,2022-02-23 14:01:21+00:00
0,"[-74.00713999999994, 40.71455000000003]",New York City Metro,"@NYC_DOT ""Division of Traffic will conduct a study at this location to determine the need and feasibility of installing an LPI. This study will take into consideration traffic and pedestrian volumes, vehicular speeds, accident history, visibility, signal spacing, and other conditions.""",2022-02-22 20:23:02+00:00
0,"[-74.00713999999994, 40.71455000000003]",New York City Metro,"Want to land a job like ""Design and Construction Services Manager"" at TCB? Applicant tracking systems look for specific keywords. Use the right keywords and get your resume in front of the hiring manager. #Construction #NewYork, NY",2022-02-22 16:26:49+00:00
1,"[-74.00713999999994, 40.71455000000003]",New York City Metro,Updated: Construction on #PortJefferson Both directions from Penn Station to Port Jefferson https://t.co/6gj4piyK8r,2022-02-22 10:08:03+00:00
2,"[-73.07005999999996, 40.94627000000003]",New York City Metro,Updated: Construction on #PortJefferson Both directions from Penn Station to Port Jefferson https://t.co/6gj4piyK8r,2022-02-22 10:08:03+00:00
4,"[-73.06524075356516, 40.899146616788485]",New York City Metro,Updated: Construction on #PortJefferson Both directions from Penn Station to Port Jefferson https://t.co/6gj4piyK8r,2022-02-22 10:08:03+00:00
5,"[-73.05232999999998, 40.93074000000007]",New York City Metro,Updated: Construction on #PortJefferson Both directions from Penn Station to Port Jefferson https://t.co/6gj4piyK8r,2022-02-22 10:08:03+00:00
6,"[-73.95923197782602, 40.70161609381361]",New York City Metro,Updated: Construction on #PortJefferson Both directions from Penn Station to Port Jefferson https://t.co/6gj4piyK8r,2022-02-22 10:08:03+00:00
7,"[-73.95530100235588, 40.70416001212688]",New York City Metro,Updated: Construction on #PortJefferson Both directions from Penn Station to Port Jefferson https://t.co/6gj4piyK8r,2022-02-22 10:08:03+00:00
8,"[-74.12338490789914, 40.610465032798444]",New York City Metro,Updated: Construction on #PortJefferson Both directions from Penn Station to Port Jefferson https://t.co/6gj4piyK8r,2022-02-22 10:08:03+00:00
0,"[-74.00713999999994, 40.71455000000003]",New York City Metro,Updated: Construction on #Systemwide https://t.co/QcQjpdssSh,2022-02-22 10:03:17+00:00
0,"[-74.00713999999994, 40.71455000000003]",New York City Metro,Updated: Construction on #BabylonAndMontauk EB at Penn Station https://t.co/nHDmzlryon,2022-02-22 10:03:17+00:00
2,"[-74.11914331511373, 40.56464174808425]",New York City Metro,Updated: Construction on #BabylonAndMontauk EB at Penn Station https://t.co/nHDmzlryon,2022-02-22 10:03:17+00:00
