,Datetime,Text,Username,UserLocation,ReplyCount,LikeCount,RetweetCount
0,2022-02-24 18:20:02+00:00,Construction on #AllTrains at New York Penn Station https://t.co/M8ydhUNfLi,511NY,New York State,0,0,0
1,2022-02-24 10:04:16+00:00,Cleared: Construction on #ELine SB from 23 St to Spring St,511nyACE,New York City,0,0,0
2,2022-02-24 10:04:16+00:00,Cleared: Construction on #ELine SB from 23 St to Spring St,511NY,New York State,0,0,0
3,2022-02-24 02:43:12+00:00,Construction on #ELine SB from 23 St to Spring St https://t.co/2Esf8cXiv2,511nyACE,New York City,0,0,0
4,2022-02-24 02:43:11+00:00,Construction on #ELine SB from 23 St to Spring St https://t.co/i9pBWI6ScD,511NY,New York State,0,0,0
5,2022-02-23 21:34:00+00:00,Construction on #1Line NB from Times Sq - 42 St to 72 St https://t.co/QFpxBUMbL6,511ny123,New York City,0,0,0
6,2022-02-23 21:34:00+00:00,Construction on #1Line NB from Times Sq - 42 St to 72 St https://t.co/xqPX6vVHxg,511NY,New York State,1,0,0
7,2022-02-23 21:33:03+00:00,Construction on #2Line NB from Times Sq - 42 St to 72 St https://t.co/PGUsgiTrr0,511NY,New York State,0,0,0
8,2022-02-23 21:33:03+00:00,Construction on #2Line NB from Times Sq - 42 St to 72 St https://t.co/D7fyOYSwon,511ny123,New York City,0,0,0
9,2022-02-23 18:44:05+00:00,@DinnerWed @EJKessler @JulieMenin @NYC_DOT @Ydanis2013 All the bicycle riders ? Some of the bicycle riders ? Do all of the drivers follow traffic rules ? Should we not have roads for cars if majority of car drivers not follow traffic rules ? What's the consequence of a driver vs. a biker not following traffic rules ?,Choresh2,"East Village, Manhattan",0,6,1
10,2022-02-23 18:08:50+00:00,Hiring an SPM and APM for my NYC construction Corp. Dm me asap,STARFORCEHH,10001,0,1,0
11,2022-02-23 14:01:21+00:00,Construction on #E24THST EB from MADISON AVE to PARK AVE S https://t.co/2hUSg72pRw,511NY,New York State,0,0,0
12,2022-02-22 20:23:02+00:00,"@NYC_DOT ""Division of Traffic will conduct a study at this location to determine the need and feasibility of installing an LPI. This study will take into consideration traffic and pedestrian volumes, vehicular speeds, accident history, visibility, signal spacing, and other conditions.""",Choresh2,"East Village, Manhattan",0,0,0
13,2022-02-22 16:26:49+00:00,"Want to land a job like ""Design and Construction Services Manager"" at TCB? Applicant tracking systems look for specific keywords. Use the right keywords and get your resume in front of the hiring manager. #Construction #NewYork, NY",tmj_nyc_constru,"New York, NY",0,0,0
14,2022-02-22 10:08:03+00:00,Updated: Construction on #PortJefferson Both directions from Penn Station to Port Jefferson https://t.co/6gj4piyK8r,511NY,New York State,0,0,0
